id,kastid,beginperiode,eindperiode,gemeente,straat,latitude,longitude,snelheidslimiet,vrachtwagenvrijezone,snelheid,tijd,overschreden,type
39,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,35,2023-12-06 05:38:30,0,Truck
40,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,75,2023-12-01 21:43:28,1,Car
41,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,26,2023-12-01 02:11:38,0,Motorcycle
42,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,58,2023-12-01 09:55:48,1,Motorcycle
43,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,64,2023-12-04 11:29:29,1,Car
44,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,64,2023-12-01 16:17:20,0,Car
45,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,60,2023-12-05 02:58:05,1,Bus
46,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,45,2023-12-06 08:16:43,1,Car
47,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,48,2023-12-02 14:17:17,1,Truck
48,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,30,2023-12-03 20:03:00,0,Car
49,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,35,2023-12-03 09:49:52,0,Bycicle
50,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,77,2023-12-06 21:09:50,1,Bus
51,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,33,2023-12-06 10:00:56,0,Bycicle
52,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,78,2023-12-05 15:20:05,1,Bus
53,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,39,2023-12-01 22:22:25,0,Car
54,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,34,2023-12-03 21:31:33,1,Bycicle
55,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,64,2023-12-02 04:38:48,1,Truck
56,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,54,2023-12-06 17:06:04,0,Truck
57,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,62,2023-12-03 23:46:13,1,Car
58,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,52,2023-12-06 06:15:32,1,Motorcycle
59,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,48,2023-12-02 22:49:38,1,Truck
60,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,57,2023-12-07 18:29:21,1,Bus
61,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,52,2023-12-01 18:39:05,1,Car
62,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,51,2023-12-06 22:07:04,1,Truck
63,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,44,2023-12-03 07:38:09,1,Motorcycle
64,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,39,2023-12-07 08:08:29,0,Bus
65,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,57,2023-12-05 12:35:42,0,Truck
66,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,50,2023-12-03 15:06:54,0,Truck
67,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,58,2023-12-02 06:17:09,0,Truck
68,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,49,2023-12-03 19:07:25,1,Motorcycle
69,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,31,2023-12-03 11:09:54,1,Bus
70,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,72,2023-12-01 21:21:27,1,Truck
71,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,71,2023-12-06 04:31:29,1,Truck
72,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,26,2023-12-01 17:05:47,0,Motorcycle
73,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,48,2023-12-07 06:16:13,0,Car
74,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,37,2023-12-06 07:33:38,0,Truck
75,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,43,2023-12-07 03:12:16,0,Bycicle
76,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,31,2023-12-03 10:17:11,0,Bus
77,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,69,2023-12-03 05:50:50,1,Motorcycle
78,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,31,2023-12-03 13:28:11,1,Truck
79,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,62,2023-12-07 16:58:21,1,Truck
80,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,56,2023-12-06 13:14:07,1,Bus
81,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,51,2023-12-03 01:31:40,1,Motorcycle
82,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,71,2023-12-05 04:50:30,1,Bus
83,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,40,2023-12-03 05:14:14,0,Bus
84,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,51,2023-12-07 03:51:32,0,Bus
85,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,47,2023-12-05 18:22:56,0,Car
86,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,71,2023-12-03 01:27:14,1,Bus
87,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,27,2023-12-06 05:07:05,0,Motorcycle
88,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,32,2023-12-07 09:41:24,0,Truck
89,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,73,2023-12-01 00:09:50,1,Motorcycle
90,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,44,2023-12-01 16:19:52,1,Car
91,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,73,2023-12-04 02:20:34,1,Motorcycle
92,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,59,2023-12-04 23:24:58,0,Bus
93,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,35,2023-12-01 13:36:24,0,Truck
94,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,31,2023-12-02 11:24:25,0,Bycicle
95,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,70,2023-12-02 07:14:09,0,Motorcycle
96,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,69,2023-12-01 18:43:31,0,Truck
97,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,25,2023-12-02 17:22:42,0,Truck
98,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,33,2023-12-05 13:33:52,1,Car
99,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,74,2023-12-07 09:53:10,1,Bycicle
100,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,46,2023-12-04 14:15:06,1,Motorcycle
101,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,60,2023-12-02 02:17:44,0,Bus
102,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,63,2023-12-07 13:20:27,1,Car
103,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,59,2023-12-04 08:10:55,1,Bus
104,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,61,2023-12-06 03:55:57,1,Bus
105,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,36,2023-12-06 07:09:30,0,Motorcycle
106,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,64,2023-12-03 05:41:31,1,Bycicle
107,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,40,2023-12-04 04:17:03,0,Bus
108,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,57,2023-12-01 10:10:24,0,Car
109,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,67,2023-12-06 01:42:27,0,Bycicle
110,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,77,2023-12-07 04:37:06,1,Car
111,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,34,2023-12-06 08:45:48,1,Truck
112,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,78,2023-12-03 09:34:15,1,Motorcycle
113,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,44,2023-12-01 03:19:16,1,Motorcycle
114,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,67,2023-12-06 03:02:09,1,Truck
115,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,51,2023-12-01 07:12:22,1,Bus
116,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,59,2023-12-06 07:52:59,1,Bycicle
117,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,44,2023-12-05 10:11:14,0,Motorcycle
118,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,62,2023-12-02 03:46:00,1,Motorcycle
119,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,28,2023-12-05 14:37:42,0,Motorcycle
120,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,68,2023-12-04 00:23:05,1,Bycicle
121,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,69,2023-12-03 13:19:31,0,Car
122,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,77,2023-12-05 06:09:53,1,Car
123,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,61,2023-12-03 07:13:13,1,Truck
124,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,72,2023-12-07 15:56:43,1,Bus
125,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,46,2023-12-01 17:35:50,0,Truck
126,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,33,2023-12-03 09:44:09,0,Car
127,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,31,2023-12-05 17:47:27,0,Truck
128,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,64,2023-12-05 19:02:06,1,Car
129,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,49,2023-12-07 06:54:46,1,Motorcycle
130,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,64,2023-12-06 22:55:56,1,Bycicle
131,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,48,2023-12-03 01:15:22,1,Truck
132,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,71,2023-12-03 23:27:51,1,Bycicle
133,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,48,2023-12-05 17:40:03,1,Motorcycle
134,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,41,2023-12-03 02:54:25,1,Truck
135,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,48,2023-12-06 03:24:52,1,Motorcycle
136,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,52,2023-12-07 15:15:00,1,Bus
137,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,39,2023-12-07 19:50:55,0,Motorcycle
138,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,35,2023-12-04 20:23:59,0,Truck
139,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,76,2023-12-06 07:14:51,1,Bycicle
140,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,27,2023-12-06 11:45:20,0,Motorcycle
141,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,76,2023-12-07 14:51:05,1,Truck
142,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,63,2023-12-02 08:44:56,1,Truck
143,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,25,2023-12-04 14:20:10,0,Car
144,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,61,2023-12-06 17:24:59,0,Bycicle
145,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,29,2023-12-06 08:05:04,0,Car
146,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,72,2023-12-01 12:41:36,1,Motorcycle
147,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,29,2023-12-05 00:57:48,0,Bus
148,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,59,2023-12-02 13:10:12,0,Bus
149,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,73,2023-12-03 18:21:07,1,Car
150,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,62,2023-12-03 14:30:13,1,Motorcycle
151,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,70,2023-12-01 14:01:10,0,Motorcycle
152,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,37,2023-12-03 05:05:52,1,Motorcycle
153,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,63,2023-12-03 08:08:48,1,Bus
154,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,38,2023-12-01 08:14:17,0,Truck
155,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,54,2023-12-07 08:00:41,1,Motorcycle
156,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,54,2023-12-05 08:05:49,0,Truck
157,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,45,2023-12-01 02:18:39,0,Bus
158,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,30,2023-12-02 20:06:53,0,Truck
159,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,32,2023-12-03 18:29:33,1,Car
160,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,40,2023-12-02 10:19:45,1,Motorcycle
161,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,43,2023-12-03 14:30:25,1,Bus
162,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,45,2023-12-04 03:51:49,0,Bycicle
163,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,74,2023-12-05 00:24:18,1,Truck
164,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,35,2023-12-06 00:06:24,0,Motorcycle
165,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,65,2023-12-07 00:49:43,1,Car
166,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,77,2023-12-06 17:19:29,1,Car
167,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,56,2023-12-05 20:11:15,1,Motorcycle
168,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,73,2023-12-01 02:21:29,1,Bycicle
169,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,66,2023-12-05 05:55:49,1,Truck
170,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,46,2023-12-05 06:56:36,1,Truck
171,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,59,2023-12-01 04:13:54,0,Bycicle
172,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,80,2023-12-01 02:43:31,1,Motorcycle
173,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,60,2023-12-01 11:22:33,1,Car
174,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,45,2023-12-02 11:54:57,0,Motorcycle
175,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,77,2023-12-07 11:10:26,1,Bycicle
176,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,48,2023-12-04 12:53:51,0,Bus
177,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,30,2023-12-04 05:56:12,0,Car
178,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,64,2023-12-06 13:24:49,1,Truck
179,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,45,2023-12-02 08:54:15,1,Truck
180,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,37,2023-12-02 01:11:12,1,Motorcycle
181,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,58,2023-12-01 21:03:46,0,Motorcycle
182,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,61,2023-12-01 00:53:54,1,Truck
183,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,69,2023-12-05 08:55:34,1,Motorcycle
184,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,53,2023-12-01 10:56:11,0,Truck
185,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,37,2023-12-02 09:13:25,0,Motorcycle
186,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,69,2023-12-03 20:12:18,1,Truck
187,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,28,2023-12-07 09:39:21,0,Bycicle
188,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,58,2023-12-01 00:13:48,1,Truck
189,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,30,2023-12-03 00:11:18,0,Truck
190,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,49,2023-12-05 12:49:44,1,Car
191,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,44,2023-12-02 00:13:51,1,Truck
192,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,40,2023-12-05 03:54:13,0,Car
193,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,63,2023-12-04 17:49:05,1,Car
194,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,52,2023-12-04 06:05:14,1,Bus
195,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,65,2023-12-07 00:12:02,1,Motorcycle
196,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,70,2023-12-05 02:51:36,0,Bycicle
197,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,79,2023-12-01 19:19:16,1,Bus
